,CombinedCountry
6976,
6981,
7014,
7028,Roman
7040,
7049,European
7051,
7052,
7053,Docks
7079,
7095,
7103,
7119,
7128,European
7131,
7134,European
7147,
7158,
7195,Roman
7205,
7214,
7218,Portraits
7223,
7225,
7243,
7276,Western Central Asia
7289,
7300,
7302,Roman
7308,Western
7310,
7314,
7316,
7332,
7338,Roman
7346,Roman
7359,Gallo-Roman
7360,
7361,
7392,
7412,Gaul
7421,Levant
7424,Portraits
7455,
7457,
7458,
7460,Men
7468,Acheulean
7489,
7520,
7543,
7546,
7552,Buildings
7568,
7582,Czechoslovakian
7591,
7599,Parthian
7604,
7616,
7619,
7647,European
7648,Roman
7665,
7672,
7706,
7717,Roman
7722,European
7728,
7729,Roman
7736,Byzantine
7738,Roman
7740,
7752,
7757,
7788,
7794,Roman
7810,Bactria-Margiana Archaeological Complex
7826,Frankish
7834,Roman
7836,
7840,European
7845,Roman
7857,Levant
7861,
7880,
7890,European
7906,
7924,hilt
7952,
7958,Roman
7966,European
7988,
7993,Jewish
8007,European
8013,
8018,Langobardic
8036,
8040,
8093,
8102,Portraits
8115,
8119,
8121,Buildings
8129,Men
8132,Men
8157,
8178,
8186,Roman
8211,Men
8213,
8218,Roman
8223,
8239,Assyrian
8241,
8246,Feet
8250,
8255,
8271,Eurasian steppes
8279,
8290,Roman
8293,
8318,Men
8322,
8371,Portraits
8373,Scythian
8376,
8392,
8401,Schools
8424,
8428,
8429,
8430,European
8436,Roman
8440,Roman
8469,European
8476,European
8478,
8496,
8524,Late Roman
8525,Roman
8537,
8540,Men
8560,
8573,
8601,
8611,
8622,Roman
8634,
8640,
8671,
8676,
8684,European
8691,Modern
8701,Monuments
8703,Roman
8710,Portraits
8711,European
8728,European
8729,
8734,Men
8737,
8750,
8760,
8763,European
8802,
8812,
8816,Byzantine
8827,European
8842,
8843,Roman
8853,former Yugoslavia(
8857,
8868,Roman
8884,
8887,Roman
8911,
8932,Roman
8934,Roman
8959,
8975,
8983,
8991,Byzantine
8995,
9006,
9007,
9018,
9021,European
9043,European
9049,
9062,
9067,Roman
9070,Roman
9092,
9114,
9137,Central Asia
9140,Roman
9142,Men
9145,
9147,Assyrian
9153,
9157,Roman
9173,
9195,
9196,
9214,Levant
9261,Roman
9272,
9274,
9290,Roman
9293,Frankish
9302,
9304,
9322,
9330,
9351,
9356,
9366,
9385,
9423,
9425,
9442,European
9461,European
9463,
9487,
9514,Roman
9524,
9546,Malayan with Turkish mountings
9555,European
9561,
9563,
9579,Roman
9610,
9612,
9632,
9654,
9667,
9698,Roman
9711,Assyro-Babylonian
9742,Central Asia
9747,European
9755,European
9767,
9769,
9774,Portraits
9776,Byzantine
9780,
9790,Bactria-Margiana Archaeological Complex
9813,
9828,
9841,Waterfalls
9853,Neolithic
9870,
9873,Parthian
9875,Islamic
9910,
9920,Frankish
9921,
9923,
9927,
9939,
9941,
9964,
9974,
10000,Portraits
10017,
10022,
10035,
10040,
10044,
10045,
10050,
10051,Achaemenid
10052,Portraits
10054,Portraits
10062,
10072,
10081,Bactria-Margiana Archaeological Complex
10098,
10104,Roman
10134,Indiaal
10144,
10156,
10170,Men
10181,
10182,European
10185,
10190,
10202,
10207,
10212,
10214,
10225,
10226,Assyrian
10251,
10312,European
10339,
10345,Roman
10357,
10376,
10397,
10404,Men
10407,Bactria-Margiana Archaeological Complex
10414,
10417,
10420,Roman
10432,
10454,Continental
10464,Frankish
10491,Frankish
10495,
10496,
10517,
10542,Arches
10545,
10563,
10588,
10590,
10601,Assyrian
10613,
10623,
10635,Byzantine
10646,European
10655,Roman
10665,
10672,Roman
10675,Portraits
10677,Portraits
10682,
10686,Roman
10698,Roman
10708,
10720,
10721,European
10724,Carriages
10725,
10745,
10759,
10765,
10766,Parthian
10767,
10790,
10792,European
10796,
10799,
10803,
10807,
10811,Roman
10820,Roman
10829,Men
10830,
10833,
10847,
10859,Roman
